"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Chandpole",26.9265583,75.8079145,"heavy_rail",2015
2,"Choti Chaupar",26.924666,75.8184914,"heavy_rail",2020
3,"Sindhi Camp",26.9225493,75.7999247,"heavy_rail",2015
4,"Badi Chaupar",26.9229693,75.8267752,"heavy_rail",2020
5,"Ram Nagar",26.9017572,75.7746732,"heavy_rail",2015
6,"New Aatish Market",26.880132,75.7644774,"heavy_rail",2015
7,"Vivek Vihar",26.8884508,75.7684353,"heavy_rail",2015
8,"Civil Lines",26.9094099,75.7811653,"heavy_rail",2015
9,"Railway Station",26.9180968,75.7901165,"heavy_rail",2015
10,"Manasarovar",26.8794171,75.7502156,"heavy_rail",2015
11,"Shyam Nagar",26.8964694,75.7706558,"heavy_rail",2015
