"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Córdoba",-31.4204495248455,-64.1750403771368,"inter_city_rail",2004
2,"Toledo",-31.5562244177255,-64.0095296323081,"inter_city_rail",2004
3,"Río Segundo",-31.6537944640397,-63.9103479237161,"inter_city_rail",2004
4,"Pilar",-31.6825345007741,-63.8853950252037,"inter_city_rail",2004
5,"Laguna Larga",-31.7772551220943,-63.802779008401,"inter_city_rail",2004
6,"Manfredi",-31.8429975493649,-63.7453223225317,"inter_city_rail",2004
7,"Oncativo",-31.9139957028886,-63.6832442451398,"inter_city_rail",2004
8,"Oliva",-32.0418455183843,-63.5712315793921,"inter_city_rail",2004
9,"James Craik",-32.1640402066973,-63.4638122591392,"inter_city_rail",2004
10,"Tío Pujio",-32.2876324943391,-63.3550734886894,"inter_city_rail",2004
11,"Villa María",-32.4126396946368,-63.2446842611445,"inter_city_rail",2004
