"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"IIT Kanpur",26.5091437,80.2482012,"heavy_rail",2021
2,"Moti Jheel",26.4790926,80.3186355,"heavy_rail",2021
3,"Geeta Nagar",26.4869799,80.292134,"heavy_rail",2021
4,"CSJM University",26.4954798,80.2707245,"heavy_rail",2021
5,"Gurudev Chauraha",26.4914596,80.2844916,"heavy_rail",2021
6,"SPM Hospital",26.4988842,80.2588935,"heavy_rail",2021
7,"Kalyanpur Railway Station",26.5036932,80.2524785,"heavy_rail",2021
8,"Rawatpur",26.4828454,80.3000741,"heavy_rail",2021
9,"Lala Lajpat Rai Hospital",26.4792518,80.3115654,"heavy_rail",2021
10,"Chunniganj",26.4770436389992,80.3371786372272,"heavy_rail",2025
11,"Naveen Market",26.4741172079661,80.3455821620217,"heavy_rail",2025
12,"Bada Chauraha",26.4728311394658,80.3522868644915,"heavy_rail",2025
13,"Nayaganj",26.4642942388685,80.3595438575555,"heavy_rail",2025
14,"Kanpur Central",26.4537092280882,80.3512023953896,"heavy_rail",2025
