"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Greystones",53.1440510353044,-6.06081836324616,"commuter_rail",1855
2,"Bray Daly",53.2043317837464,-6.10053274885188,"commuter_rail",1854
3,"Grand Canal Dock",53.3397069849559,-6.23792404393985,"commuter_rail|default",2001
4,"St. Stephen's Green",53.3390675589548,-6.26132846573414,"tram",2004
5,"Harcourt",53.3333582869268,-6.26259533234453,"tram",2004
6,"Charlemont",53.3307334591819,-6.25867711574781,"tram",2004
7,"Ranelagh",53.3264502713191,-6.25619675410924,"tram",2004
8,"Cowper",53.3164806679412,-6.25342217332646,"tram",2004
9,"Beechwood",53.3209465459509,-6.25463380038402,"tram",2002
10,"Milltown",53.3100362243045,-6.25172644620469,"tram",2004
11,"Windy Arbour",53.3016717047247,-6.25069963729425,"tram",2004
12,"Dundrum",53.2923874532605,-6.24514602382754,"tram",2002
13,"Balally",53.2860550222985,-6.23671652179291,"tram",2004
14,"Kilmacud",53.2829832513885,-6.22379163198795,"tram",2004
15,"Stillorgan",53.2793863272741,-6.21017366210993,"tram",2004
16,"Sandyford",53.2776728859773,-6.20490399902772,"tram",2004
17,"Central Park",53.2702218048398,-6.20364408983191,"tram",2010
18,"Glencairn",53.2662756661177,-6.21000662660684,"tram",2010
19,"The Gallops",53.2611352969843,-6.20595613343836,"tram",2010
20,"Leopardstown Valley",53.2582632711579,-6.19840022796567,"tram",2010
21,"Ballyogan Wood",53.2550295918666,-6.18450788389703,"tram",2010
22,"Tara Street",53.3471400924561,-6.25427896548781,"commuter_rail|default",1984
23,"Dublin Pearse",53.3433563839909,-6.24851815546495,"commuter_rail|default",1984
24,"Dublin Heuston",53.3464647716874,-6.29340923331813,"default",1846
