"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Lauttasaari",60.1593126,24.8775184,"heavy_rail",2017
2,"Lauttasaari",60.1594623,24.8793291,"heavy_rail",
3,"Koivusaari",60.1633866,24.8542296,"heavy_rail",
4,"Koivusaari",60.1637417,24.8533041,"heavy_rail",2017
5,"Aalto-yliopisto",60.1843582,24.8243171,"heavy_rail",
6,"Keilaniemi",60.1751823,24.828897,"heavy_rail",
7,"Aalto-yliopisto",60.1845717,24.8229186,"heavy_rail",2017
8,"Keilaniemi",60.1757107,24.8297236,"heavy_rail",2017
9,"Tapiola",60.1750212,24.8047117,"heavy_rail",
10,"Tapiola",60.1749882,24.8031435,"heavy_rail",2017
11,"Urheilupuisto",60.1746387,24.7806197,"heavy_rail",2017
12,"Urheilupuisto",60.1744566,24.7823804,"heavy_rail",
13,"Matinkylä",60.1596837,24.7394974,"heavy_rail",
14,"Niittykumpu",60.1701591,24.7622897,"heavy_rail",2017
15,"Matinkylä",60.159624,24.7383949,"heavy_rail",2017
16,"Niittykumpu",60.170491,24.7636008,"heavy_rail",
17,"Helsinki",60.1717197,24.9412072,,
18,"Helsinki",60.1717219,24.9412938,,
19,"Helsinki",60.1717145,24.9410059,"commuter_rail",1903
20,"Helsinki",60.1717121,24.940915,,
21,"Helsinki",60.1717271,24.9414913,,
22,"Helsinki",60.1717295,24.9415834,,
23,"Helsingfors",60.1717347,24.9417843,"commuter_rail",1862
24,"Ruoholahti",60.1632978,24.9147545,"heavy_rail",1993
25,"Ruoholahti",60.1630845,24.9166576,"heavy_rail",
26,"Sörnäinen",60.1869231,24.9600336,"heavy_rail",
27,"Sörnäinen",60.1876492404997,24.9599203583732,"heavy_rail",1984
28,"Hakaniemi",60.1801821,24.9500075,"heavy_rail",1982
29,"Hakaniemi",60.1810998,24.9502811,"heavy_rail",
30,"Helsingin yliopisto",60.1728248,24.9493423,"heavy_rail",
31,"Rautatientori",60.1702606,24.9404669,"heavy_rail",
32,"Rautatientori",60.1705176651729,24.940099832369,"heavy_rail",1982
33,"Kamppi",60.1691095,24.9328074,"heavy_rail",
34,"Kamppi",60.1689291,24.9310832,"heavy_rail",1983
35,"Kulosaari",60.1888733,25.008992,"heavy_rail",
36,"Kulosaari",60.1888067,25.0073263,"heavy_rail",1982
37,"Kalasatama",60.1873494,24.9779495,"heavy_rail",
38,"Kalasatama",60.1874693910278,24.9771885390699,"heavy_rail",2007
39,"Siilitie",60.2056824,25.0446948,"heavy_rail",
40,"Siilitie",60.2055893336207,25.0443133527552,"heavy_rail",1982
41,"Herttoniemi",60.1949399371557,25.0308303177993,"heavy_rail",1982
42,"Herttoniemi",60.1949113,25.0311416,"heavy_rail",
43,"Itäkeskus",60.2100486,25.0778265,"heavy_rail",
44,"Itäkeskus",60.2101994,25.0776719,"heavy_rail",1982
45,"Puotila",60.2148175,25.0922705,"heavy_rail",1998
46,"Puotila",60.2145826,25.0940019,"heavy_rail",
47,"Myllypuro",60.2245421,25.0760257,"heavy_rail",1986
48,"Myllypuro",60.2248090129285,25.0760327746706,"heavy_rail",
49,"Kontula",60.2360870392372,25.0839291801123,"heavy_rail",1986
50,"Mellunmäki",60.2393452,25.1118359,"heavy_rail",
51,"Mellunmäki",60.2392369883826,25.1110986285539,"heavy_rail",1989
52,"Kontula",60.2360866,25.0842844,"heavy_rail",
53,"Vuosaari",60.2071502,25.1429411,"heavy_rail",
54,"Vuosaari",60.207217,25.1419593,"heavy_rail",1998
55,"Rastila",60.2051719,25.122326,"heavy_rail",
56,"Rastila",60.2055717,25.12071,"heavy_rail",1998
57,"Helsinki",60.173306,24.9421897,,
58,"Helsinki",60.1732969,24.9419941,"commuter_rail",1996
59,"Helsinki",60.1727761,24.9405985,,
60,"Helsinki",60.1727716,24.9403137,,
61,"Helsinki",60.1727701,24.940223,,
62,"Helsinki",60.172767,24.9400271,,
63,"Helsinki",60.1727656,24.9399355,,
64,"Helsinki",60.1727624,24.9397319,"commuter_rail",2001
65,"Pasila",60.1989884,24.9324426,,
66,"Pasila",60.1991778,24.9339974,,
67,"Frederiksberg",60.1990336,24.9327527,"commuter_rail",1903
68,"Pasila",60.1990238,24.9326784,"commuter_rail",2001
69,"Frederiksberg",60.1991104965277,24.9334297725534,"commuter_rail",1876
70,"Pasila",60.1990308151302,24.9327499729414,"commuter_rail",1925
71,"Pasila",60.1990964,24.9333295,,
72,"Pasila",60.1991515,24.9337816,"commuter_rail",1996
73,"Pasila",60.1991092,24.9334342,,
74,"Käpylä",60.2200671134401,24.9459010159399,"commuter_rail",1972
75,"Käpylä",60.2199818,24.9460275,"commuter_rail",1996
76,"Oulunkylä",60.2278168,24.9657376,"commuter_rail",1996
77,"Oulunkylä",60.2277233,24.9659195,,
78,"Pukinmäki",60.2420975670433,24.993367238381,"commuter_rail",1996
79,"Pukinmäki",60.2421415692009,24.9932575967403,"commuter_rail",1982
80,"Malmi",60.2504780196683,25.0097054875294,"commuter_rail",1996
81,"Malmi",60.2505035768929,25.0096294970939,"commuter_rail",1925
82,"Tapanila",60.2632071645188,25.0291468911022,"commuter_rail",1925
83,"Tapanila",60.2631835,25.0292392,"commuter_rail",1996
84,"Puistola",60.276056081039,25.0365590403467,"commuter_rail",1978
85,"Puistola",60.2760479,25.0366385,"commuter_rail",1996
86,"Tikkurila",60.2929799478552,25.0444199050734,"commuter_rail",1925
87,"Tikkurila",60.2928976,25.0450341,,
88,"Dickursby",60.2929779,25.0444172,"commuter_rail",1862
89,"Tikkurila",60.2929412,25.0447412,,
90,"Tikkurila",60.2929353,25.0446622,,
91,"Tikkurila",60.2929012,25.0449637,"commuter_rail",1996
92,"Hiekkaharju",60.3030683511196,25.0492007909949,"commuter_rail",2004
93,"Hiekkaharju",60.3030832735171,25.0490719853963,"commuter_rail",1931
94,"Koivukylä",60.3233371394602,25.0598179779408,"commuter_rail",1980
95,"Koivukylä",60.3233178,25.0598861,"commuter_rail",2004
96,"Rekola",60.3325771,25.0683644,"commuter_rail",2004
97,"Rekola",60.3325898182864,25.068299764869,"commuter_rail",1980
98,"Aviapolis",60.3042545,24.9560243,,
99,"Aviapolis",60.3041389,24.9562426,"commuter_rail",2015
100,"Malminkartano",60.2493985,24.8612922,"commuter_rail",1978
101,"Malminkartano",60.2493806,24.861204,,
102,"Kannelmäki",60.2395888,24.8770688,"commuter_rail",1975
103,"Kannelmäki",60.2395609,24.8770353,,
104,"Pohjois-Haaga",60.2303705,24.8834644,,
105,"Pohjois-Haaga",60.2303574,24.8835354,"commuter_rail",1975
106,"Valimo",60.2222200586355,24.8772773840305,"commuter_rail",1976
107,"Valimo",60.2221627,24.8772973,"commuter_rail",2001
108,"Huopalahti",60.218345,24.893391,"commuter_rail",2001
109,"Huopalahti",60.2183799167378,24.89344,"commuter_rail",1925
110,"Huopalahti",60.2184887,24.8935989,,
111,"Huopalahti",60.2182497,24.8932532,,
112,"Ilmala",60.2075649,24.9214844,"commuter_rail",2001
113,"Ilmala",60.2075897560329,24.9215391334569,"commuter_rail",1967
114,"Mäkkylä",60.221150006859,24.8426015187399,"commuter_rail",1940
