"nodeID","nodeLabel","latitude","longitude","mode","year"
1,"Villa el Salvador

",-12.2073977952536,-76.9333264828203,"default",2011
2,"Parque Industrial

",-12.1964495573923,-76.9398370391069,"default",2011
3,"Atocongo

",-12.151042398991,-76.9792881740176,"default",2011
4,"San Juan

",-12.1564419174594,-76.9657099275403,"default",2011
5,"María Auxiliadora

",-12.1612158018865,-76.9562947929515,"default",2011
6,"Villa María

",-12.1693130352168,-76.9503417161214,"default",2011
7,"Pumacahua

",-12.1817266892554,-76.9470316456826,"default",2011
8,"Jorge Chávez

",-12.1425594837418,-76.9909719539443,"default",2011
9,"Ayacucho

",-12.134869430031,-76.9967897987088,"default",2011
10,"Los Cabitos

",-12.1272933691851,-77.0003927698205,"default",2011
11,"Angamos

",-12.1102820727158,-77.00034030061,"default",2011
12,"San Borja Sur

",-12.1002622706362,-77.0017873894086,"default",2011
13,"La Cultura 

",-12.0867342630303,-77.0037480252924,"default",2011
14,"Nicolás Arriola

",-12.0747990762617,-77.0110276383408,"default",2011
15,"Gamarra

",-12.0657984920805,-77.0122364205672,"default",2011
16,"Miguel Grau

",-12.05427213131,-77.0127863531805,"default",2011
17,"Prebístero Maestro

",-12.0416230640728,-77.0114930752982,"default",2014
18,"El Ángel 

",-12.045968456224,-77.0097360434244,"default",2014
19,"Caja de Agua

",-12.0278538317048,-77.0112289942893,"default",2014
20,"Pirámide del Sol

",-12.0179087044323,-77.0025590999291,"default",2014
21,"Los Jardines

",-12.006967508425,-77.0053056911375,"default",2014
22,"Los Postes

",-11.9961252780986,-77.009915573896,"default",2014
23,"San Carlos

",-11.9847979032678,-77.0066848010229,"default",2014
24,"San Martín

",-11.9744758985026,-76.9997935427173,"default",2014
25,"Santa Rosa

",-11.9681172510469,-76.9934429645868,"default",2014
26,"Bayóvar

",-11.9597812220446,-76.9874875590054,"default",2014
27,"
Mercado Santa Anita",-12.0441257599955,-76.9384651878705,"default",999999
28,"
Hermilio Valdizán",-12.048343655895,-76.9496764905053,"default",999999
29,"
Evitamiento",-12.0584105890717,-76.9732420873789,"default",999999
30,"
Óvalo Santa Anita   ",-12.0547182120809,-76.9645163798711,"default",999999
31,"
Colectora Industrial",-12.0510778007952,-76.9561344994727,"default",999999
